board_size:    (2108267, 16)
direction_size:    (2108267,)
board_size:    (140250, 16)
direction_size:    (140250,)
Epoch:  0 | train loss: 1.0626 | test accuracy: 50.00
Epoch:  0 | train loss: 1.2447 | test accuracy: 42.00
Epoch:  0 | train loss: 1.0880 | test accuracy: 40.00
Epoch:  0 | train loss: 1.0342 | test accuracy: 46.00
Epoch:  0 | train loss: 1.0690 | test accuracy: 45.00
Epoch:  0 | train loss: 1.0350 | test accuracy: 53.00
Epoch:  0 | train loss: 1.1386 | test accuracy: 48.00
Epoch:  0 | train loss: 1.0770 | test accuracy: 45.00
Epoch:  0 | train loss: 0.9976 | test accuracy: 54.00
Epoch:  0 | train loss: 0.9833 | test accuracy: 54.00
Epoch:  0 | train loss: 1.0878 | test accuracy: 40.00
Epoch:  0 | train loss: 1.0876 | test accuracy: 48.00
Epoch:  0 | train loss: 0.9715 | test accuracy: 56.00
Epoch:  0 | train loss: 1.0174 | test accuracy: 50.00
Epoch:  0 | train loss: 1.0334 | test accuracy: 54.00
Epoch:  0 | train loss: 1.1112 | test accuracy: 48.00
Epoch:  0 | train loss: 1.1472 | test accuracy: 42.00
Epoch:  0 | train loss: 1.1615 | test accuracy: 39.00
Epoch:  0 | train loss: 1.1559 | test accuracy: 43.00
Epoch:  0 | train loss: 1.1043 | test accuracy: 54.00
Epoch:  0 | train loss: 1.1381 | test accuracy: 43.00
Epoch:  0 | train loss: 0.9917 | test accuracy: 54.00
Epoch:  0 | train loss: 1.1925 | test accuracy: 35.00
Epoch:  0 | train loss: 1.0764 | test accuracy: 46.00
Epoch:  0 | train loss: 1.0679 | test accuracy: 43.00
Epoch:  0 | train loss: 1.0797 | test accuracy: 53.00
Epoch:  0 | train loss: 1.0634 | test accuracy: 53.00
Epoch:  0 | train loss: 1.1296 | test accuracy: 42.00
Epoch:  0 | train loss: 1.0218 | test accuracy: 43.00
Epoch:  0 | train loss: 1.1863 | test accuracy: 37.00
Epoch:  0 | train loss: 1.1937 | test accuracy: 45.00
Epoch:  0 | train loss: 0.9696 | test accuracy: 53.00
Epoch:  0 | train loss: 1.0592 | test accuracy: 51.00
Epoch:  0 | train loss: 1.0747 | test accuracy: 48.00
Epoch:  0 | train loss: 1.0415 | test accuracy: 53.00
Epoch:  0 | train loss: 1.0340 | test accuracy: 54.00
Epoch:  0 | train loss: 1.0149 | test accuracy: 51.00
Epoch:  0 | train loss: 1.1656 | test accuracy: 31.00
Epoch:  0 | train loss: 1.1673 | test accuracy: 40.00
Epoch:  0 | train loss: 1.1465 | test accuracy: 39.00
Epoch:  0 | train loss: 0.9888 | test accuracy: 59.00
Epoch:  0 | train loss: 1.0400 | test accuracy: 60.00
Epoch:  0 | train loss: 1.0636 | test accuracy: 51.00
Epoch:  0 | train loss: 1.1216 | test accuracy: 39.00
Epoch:  0 | train loss: 0.9898 | test accuracy: 50.00
Epoch:  0 | train loss: 0.9771 | test accuracy: 60.00
Epoch:  0 | train loss: 1.1048 | test accuracy: 46.00
Epoch:  0 | train loss: 1.1760 | test accuracy: 40.00
Epoch:  0 | train loss: 1.1016 | test accuracy: 42.00
Epoch:  0 | train loss: 1.0461 | test accuracy: 43.00
Epoch:  0 | train loss: 1.0424 | test accuracy: 51.00
Epoch:  0 | train loss: 1.0192 | test accuracy: 50.00
Epoch:  0 | train loss: 1.0023 | test accuracy: 56.00
Epoch:  0 | train loss: 0.9931 | test accuracy: 53.00
Epoch:  0 | train loss: 1.0084 | test accuracy: 54.00
Epoch:  0 | train loss: 1.0912 | test accuracy: 51.00
Epoch:  0 | train loss: 1.0491 | test accuracy: 35.00
Epoch:  0 | train loss: 1.0718 | test accuracy: 51.00
Epoch:  0 | train loss: 0.9828 | test accuracy: 57.00
Epoch:  0 | train loss: 1.1414 | test accuracy: 48.00
Epoch:  0 | train loss: 0.9846 | test accuracy: 45.00
Epoch:  0 | train loss: 0.9722 | test accuracy: 54.00
Epoch:  0 | train loss: 1.1352 | test accuracy: 46.00
Epoch:  0 | train loss: 1.0091 | test accuracy: 56.00
Epoch:  0 | train loss: 1.0597 | test accuracy: 53.00
Epoch:  0 | train loss: 0.9859 | test accuracy: 51.00
Epoch:  0 | train loss: 1.1130 | test accuracy: 42.00
Epoch:  0 | train loss: 1.0224 | test accuracy: 48.00
Epoch:  0 | train loss: 1.1030 | test accuracy: 50.00
Epoch:  0 | train loss: 1.0239 | test accuracy: 46.00
Epoch:  0 | train loss: 1.1060 | test accuracy: 51.00
Epoch:  0 | train loss: 0.9907 | test accuracy: 57.00
Epoch:  0 | train loss: 1.0223 | test accuracy: 51.00
Epoch:  0 | train loss: 1.1619 | test accuracy: 51.00
Epoch:  0 | train loss: 1.0769 | test accuracy: 42.00
Epoch:  0 | train loss: 0.9774 | test accuracy: 59.00
Epoch:  0 | train loss: 1.0781 | test accuracy: 53.00
Epoch:  0 | train loss: 1.0562 | test accuracy: 48.00
Epoch:  0 | train loss: 1.0142 | test accuracy: 51.00
Epoch:  0 | train loss: 1.0353 | test accuracy: 54.00
Epoch:  0 | train loss: 1.0321 | test accuracy: 46.00
Epoch:  0 | train loss: 0.9627 | test accuracy: 57.00
Epoch:  0 | train loss: 0.9689 | test accuracy: 53.00
Epoch:  0 | train loss: 1.0803 | test accuracy: 45.00
Epoch:  0 | train loss: 1.0737 | test accuracy: 46.00
Epoch:  0 | train loss: 1.1894 | test accuracy: 35.00
Epoch:  0 | train loss: 1.0819 | test accuracy: 40.00
Epoch:  0 | train loss: 0.9680 | test accuracy: 60.00
Epoch:  0 | train loss: 0.9763 | test accuracy: 56.00
Epoch:  0 | train loss: 1.0486 | test accuracy: 50.00
Epoch:  0 | train loss: 1.0724 | test accuracy: 56.00
Epoch:  0 | train loss: 1.1125 | test accuracy: 46.00
Epoch:  0 | train loss: 0.9727 | test accuracy: 48.00
Epoch:  0 | train loss: 1.0068 | test accuracy: 57.00
Epoch:  0 | train loss: 1.2236 | test accuracy: 40.00
Epoch:  0 | train loss: 1.0894 | test accuracy: 50.00
Epoch:  0 | train loss: 0.9986 | test accuracy: 51.00
Epoch:  0 | train loss: 0.9379 | test accuracy: 48.00
Epoch:  0 | train loss: 1.1369 | test accuracy: 48.00
